Project Name,Client Name,Platform,Hours Spent,Amount Earned ($),Date,Project Type,Client Type
App UI Design Project,DigitalRathore (India),Freelancer,20,520,28-12-2024,App UI Design,Indian
App UI Design Project,DigitalRathore (India),Fiverr,20,1480,14-12-2024,App UI Design,Indian
Logo Design Project,TechYaar (India),Upwork,15,450,28-11-2024,Logo Design,Indian
Web Development Project,AppKaKaam (India),Upwork,8,200,30-12-2024,Web Development,Indian
SEO Project,GrowFast (India),Upwork,24,792,29-11-2024,SEO,Indian
App UI Design Project,PixlEdge (Canada),Fiverr,3,105,20-12-2024,App UI Design,canada
Content Writing Project,Softgenix (UK),Freelancer,29,2175,03-11-2024,Content Writing,Uk
Content Writing Project,DigitalRathore (India),Freelancer,27,621,18-12-2024,Content Writing,Indian
Bug Fixing Project,WebLinker (UAE),Fiverr,22,440,04-12-2024,Bug Fixing,UAE
Content Writing Project,Softgenix (UK),Upwork,5,200,18-12-2024,Content Writing,UK
Content Writing Project,WebLinker (UAE),Freelancer,13,754,16-12-2024,Content Writing,UAE
SEO Project,CodeBuddy (India),Freelancer,16,800,01-10-2024,SEO,Indian
Bug Fixing Project,GrowFast (India),Freelancer,28,784,16-10-2024,Bug Fixing,Indian
App UI Design Project,DigitalRathore (India),Upwork,5,250,31-10-2024,App UI Design,Indian
SEO Project,CodeZilla (Germany),Freelancer,19,1387,07-10-2024,SEO,Germany
Logo Design Project,Softgenix (UK),Fiverr,10,220,28-11-2024,Logo Design,UK
SEO Project,TechYaar (India),Fiverr,12,552,07-10-2024,SEO,Indian
Web Development Project,WebLinker (UAE),Upwork,18,648,09-12-2024,Web Development,UAE
App UI Design Project,TechYaar (India),Fiverr,23,805,20-12-2024,App UI Design,Indian
App UI Design Project,PixlEdge (Canada),Fiverr,26,2028,08-11-2024,App UI Design,canada
Content Writing Project,CodeBuddy (India),Upwork,5,215,08-11-2024,Content Writing,Indian
Logo Design Project,AliTech (US),Fiverr,13,611,17-11-2024,Logo Design,US
Bug Fixing Project,AppKaKaam (India),Freelancer,6,366,11-10-2024,Bug Fixing,Indian
Web Development Project,CodeBuddy (India),Freelancer,24,480,30-10-2024,Web Development,Indian
App UI Design Project,GrowFast (India),Upwork,26,1352,21-10-2024,App UI Design,Indian
